Subsystems,t0000_1,t0000_2,t0005,t0060,t1440,t2880,Genes
"Tyrosine metabolism",0,0,0,0,0,0,ALDH3A1,ALDH1A3,ALDH3B1,ALDH3B2
"Tyrosine metabolism",0,0,0,0,0,0,MAOA,MAOB
"Nucleic acid degradation",0,0,0,0,0,0,ACP2
"Transport, Mitochondrial",0,0,-0.01598292,0,-0.09653038,-0.09653038,SLC25A13,SLC25A12
"Taurine and hypotaurine metabolism",0,0,0,0,0,0,GAD1,GAD2,CSAD
"Taurine and hypotaurine metabolism",0,0.008603567,0,0,0,0,
"Cysteine Metabolism",0.09653038,0.07932324,0.08054745,0.09653038,0,0,GOT1
"Cysteine Metabolism",0,0,0.01598292,0,0.09653038,0.09653038,GOT2
"Cysteine Metabolism",0.09653038,0.07932324,0.08054745,0.09653038,0,0,
"Cysteine Metabolism",0,0,0.01598292,0,0.09653038,0.09653038,
"Tyrosine metabolism",0,0,0,0,0,0,MAOA,MAOB
"Tyrosine metabolism",0,0,0,0,0,0,MAOA,MAOB
"Tyrosine metabolism",0,0,0,0,0,0,ABP1,AOC2,MAOA,MAOB,AOC3
"Transport, Mitochondrial",0,0,0,0,0,0,
"Ubiquinone Biosynthesis",0,0,0,0,0,0,
"Ubiquinone Biosynthesis",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,0,0,
"Arginine and Proline Metabolism",-1000,-1000,-1000,-1000,-1000,-1000,ALDH4A1
"Tyrosine metabolism",0,0.08948908,0,0,0,0,ALDH3A1,ALDH1A3,ALDH3B1,ALDH3B2
"Transport, Mitochondrial",0,0,0,0,0,396.8106,
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,0,0,
"CYP Metabolism",0,0,0,0,0,0,SULT1A2,SULT1A1,SULT1A3
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,0.005,0,
"Transport, Extracellular",0,0,0,0,0,0,ABCC1
"Transport, Endoplasmic Reticular",0,0,0,0,0,0,
"Steroid Metabolism",0,0,0,0,0,0,SULT2A1
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Endoplasmic Reticular",0,0,0,0,0,0,
"Heme Biosynthesis",0,0,0,0,0,0,
"Transport, Lysosomal",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,0,0,SLC19A1
"Tryptophan metabolism",0,0,0,0,0,0,DDC
"Transport, Extracellular",0,0,0,0,0,0,
"Tryptophan metabolism",0,0,0,0,0,0,AOX1
"Tryptophan metabolism",0,0,0,0,0,0,ALDH1A1,ALDH9A1,ALDH3A2,ALDH7A1,ALDH1A2
"Tryptophan metabolism",0,0,0,0,0,0,ALDH2,ALDH1B1,ALDH4A1
"Tryptophan metabolism",0,0,0,0,0,0,MAOA,MAOB
"Tryptophan metabolism",0,0,0,0,0,0,IDO1
"Transport, Extracellular",0,0,0,0,0,0,SLC18A1,SLC18A2
"Tryptophan metabolism",0,0,0,0,0,0,DDC
"Tryptophan metabolism",0,0,0,0,0,0,MAOA,MAOB
"Transport, Extracellular",-50.02413,-100,100,100,100,-100,FOLR1,FOLR2L,FOLR3
"Transport, Extracellular",50.02413,100,-100,-100,-100,100,SLC19A1
"Transport, Lysosomal",0,0,0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,0,0,
"Transport, Lysosomal",0,0,0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Endoplasmic Reticular",0,0,0,0,0,0,
"Transport, Lysosomal",0,0,0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,0,0,
"Transport, Endoplasmic Reticular",0,0,0,0,0,0,
"Transport, Lysosomal",0,0,0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,0,0,
"Transport, Lysosomal",0,0,0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,0,0,
"Sphingolipid Metabolism",0,0,0,0,0,0,A4GALT
"Sphingolipid Metabolism",0,0,0,0,0,0,A4GALT
"O-Glycan Biosynthesis",0,0,0,0,0,0,A4GNT
"O-Glycan Biosynthesis",0,0,0,0,0,0,A4GNT
"Propanoate Metabolism",0.9298584,0.9622274,0.9331848,-1.374248,0.9024524,-0.1157572,AACS
"Glycine, Serine, and Threonine Metabolism",0,0,0,0,0,0,AOC3
"Transport, Mitochondrial",0,0,0,0,0,0,
"Lysine Metabolism",0,0,0,0,0,0.03948908,
"Lysine Metabolism",0,0,0,0,0,0.03948908,
"Lysine Metabolism",0.03948908,0.03948908,0.03948908,0.03948908,0.03948908,0,
"Lysine Metabolism",0.03948908,0.03948908,0.03948908,0.03948908,0.03948908,0.03948908,AADAT
"Blood Group Biosynthesis",0,0,0,0,0,0,ABO
"Blood Group Biosynthesis",0,0,0,0,0,0,ABO
"Blood Group Biosynthesis",0,0,0,0,0,0,ABO
"Blood Group Biosynthesis",0,0,0,0,0,0,ABO
"Blood Group Biosynthesis",0,0,0,0,0,0,ABO
"Blood Group Biosynthesis",0,0,0,0,0,0,ABO
"Blood Group Biosynthesis",0,0,0,0,0,0,ABO
"Blood Group Biosynthesis",0,0,0,0,0,0,ABO
"Blood Group Biosynthesis",0,0,0,0,0,0,ABO
"Glutamate metabolism",0,0,0,0,0,0,ABAT
"Pentose and Glucuronate Interconversions",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,0,0,
"beta-Alanine metabolism",0,0,0,0,0,0,ALDH9A1
"Transport, Extracellular",-100,-100,-100,-100,-100,-100,SLC36A1
"Transport, Lysosomal",0,0,0,0,0,0,SLC36A1
"Transport, Extracellular",-100,-100,-100,-100,-100,-100,SLC6A1,SLC6A11,SLC6A12,SLC6A13
"Cholesterol Metabolism",999.0701,0,0,0,999.0975,0,ACAT2
"Valine, Leucine, and Isoleucine Metabolism",0.04579337,0.04579337,0.04579337,0.04579337,0.04579337,0.04579337,ACAT1
"Tryptophan metabolism",-1000,-0.9622274,-0.9331848,1.374248,-1000,0.1157572,ACAT2
"Tryptophan metabolism",0.8154764,0.9373345,0.8188028,-1.48863,0.7880705,-0.2301391,HADHA,HADHB,ACAT1
"Cholesterol Metabolism",0,0,0,0,0,0,ACAT2
"Fatty Acid Metabolism",0,0,0,0,0,0,ACAA1
"Fatty Acid Metabolism",0,0,0,0,0,0,ACAA1
"Fatty Acid Metabolism",0,0,0,0,0,0,ACAA1
"Fatty Acid Metabolism",0,0,0,0,0,0,ACAA1
"Fatty Acid Metabolism",0,0,0,0,0,0,ACAA1
"Fatty Acid Metabolism",0,0,0,0,0,0,ACAA1
"Transport, Extracellular",0,0,0,0,0,0,SLC16A1,SLC16A7
"Transport, Mitochondrial",-0.8403693,-0.9622274,-0.8436957,1.463737,-0.8129633,0.2052463,SLC16A1
"Transport, Peroxisomal",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,0,0,
"Transport, Peroxisomal",0,0,0,0,0,0,
"Fatty Acid Metabolism",1.849221,1.849221,1.849221,1.849221,1.849221,1.88871,ACACA,ACACB
"Fatty Acid Metabolism",0,0,0,0,0,0,ACACB
"Propanoate Metabolism",0,0,0,0,0,0,ACSS2
"Propanoate Metabolism",0,0,0,0,0,0,ACSS1
"Transport, Extracellular",0,0,0,0,0,0,SLC33A1
"Transport, Nuclear",0,0,0,0,0,0,
"Transport, Endoplasmic Reticular",0,0,0,0,0,0,SLC33A1
"Transport, Extracellular",0,0,0,0,0,0,SLC16A1,SLC16A3,SLC16A7
"Transport, Mitochondrial",0,0,0,0,0,0,SLC16A1
"Transport, Golgi Apparatus",0,0,0,0,0,0,
"Transport, Lysosomal",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,0,0,
"Aminosugar Metabolism ",0,0,0,0,0,0,
"Aminosugar Metabolism ",0,0,0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,0,0,
"Transport, Lysosomal",0,0,0,0,0,0,
"Aminosugar Metabolism ",0,0,0,0,0,0,RENBP
"Aminosugar Metabolism ",0,0,0,0,0,0,GNPNAT1
"Aminosugar Metabolism ",0,0,0,0,0,0,NAGK
"Aminosugar Metabolism ",0,0,0,0,0,0,PGM3
"Transport, Lysosomal",0,0,0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,0,0,
"Transport, Lysosomal",0,0,0,0,0,0,
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0,0,0,0,0,0,PIGL
"Urea cycle/amino group metabolism",0,0,0,0,0,0,NAGS
"Glycerophospholipid Metabolism",0,0,0,0,0,0,ACHE
"Transport, Extracellular",0,0,0,0,0,0,SLC18A3
"Transport, Nuclear",0,0,0,0,0,0,
"Citric Acid Cycle",0.2536784,0.1889404,0.2470256,4.861892,0.3084903,2.344909,ACLY
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,0,0,
"Aminosugar Metabolism ",0,0,0,0,169.5522,0,NANS
"Aminosugar Metabolism ",0,0,0,0,0,0,NANS
"Aminosugar Metabolism ",0,0,0,0,169.5522,0,
"Transport, Lysosomal",0,0,0,0,0,0,SLC17A5
"Transport, Nuclear",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,0,0,
"Aminosugar Metabolism ",0,0,0,0,169.5522,0,
"Valine, Leucine, and Isoleucine Metabolism",0.04579337,0.04579337,0.04579337,0.04579337,0.04579337,0.04579337,ACADM,ACADSB
"Butanoate Metabolism",0,0,0,0,0,0,ACAD8,ACAD9,ACADM,ACADS,ACADSB,ACAD10,ACAD11
"Valine, Leucine, and Isoleucine Metabolism",0.03741411,0.03741411,0.03741411,0.03741411,0.03741411,0.03741411,IVD
"Valine, Leucine, and Isoleucine Metabolism",0.03628025,0.03628025,0.03628025,0.03628025,0.03628025,0.03628025,ACAD8,ACADM
"Pyruvate Metabolism",0,0,0,0,0,0,ACOT12
"Fatty Acid Metabolism",0.2212549,2.456602,0,6.125203,6.077294,0.1368349,ACOX1
"Fatty Acid Metabolism",0,0,0,0,0,0,FASN
"Urea cycle/amino group metabolism",0,0,0,0,0,0,ACY1
"Citric Acid Cycle",682.2789,0,0,0,0,0,IREB2,ACO1
"Citric Acid Cycle",-682.4678,-0.1889404,-0.1771131,-0.1889404,-0.168106,-0.1889404,ACO2
"Bile Acid Biosynthesis",0,0,0,0,0,0,ACOX2
"Bile Acid Biosynthesis",0,0,0,0,0,0,ACOX2
"Riboflavin Metabolism",0.006148386,0.004555857,0.001374211,0.002543323,0.002094801,0.002365377,ACP1
"Transport, Mitochondrial",0,0,0,0,0,0,SLC25A20
"Glycolysis/Gluconeogenesis",0,0,0,0,0,0,ACSS2,AACS
"Propanoate Metabolism",0,0,0,0,0,0,ACSS2,AACS
"Tryptophan metabolism",0,0,0,0,0,0,ASMT
"Tryptophan metabolism",0,0,0,0,0,0,ASMT
"Glycolysis/Gluconeogenesis",1.712425,0,1.723285,1.297078,1.732256,0,ACSS1
"Pyruvate Metabolism",0,0,0,0,0,1.720432,CYP2E1
"Pyruvate Metabolism",0,0,0,0,0,0,CYP2E1
"Glycolysis/Gluconeogenesis",0,0,0,0,0,0,RWDD2A,ACYP1,ACYP2
"Transport, Mitochondrial",1.712425,0,1.723285,1.297078,1.732256,0,
"Transport, Extracellular",0,0,0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,0,0,
"Purine Catabolism",0,0,0,0,0,0,ADA
"Nucleotides",0,0,0,0,0,0,ADA
"Propanoate Metabolism",0,0,0,0,0,0,
"Transport, Extracellular",0,0,0,0,0,0,SLC29A2
"Transport, Lysosomal",0,0,0,0,0,0,SLC29A3
"Transport, Peroxisomal",0,0,0,0,0,0,
"Nucleotides",1000,1.351026,1000,1000,1000,1000,AK7,AK1,AK5
"Nucleotides",1000,1000,1000,1000,1000,1000,AK2,AK3L1
"Nucleotides",-997.0033,-0.008866815,-997.225,-1000,-506.2319,-1000,AK5
"Nucleotides",-998.2876,-1000,-998.2767,-876.58,-998.2677,-1000,AK3
"Nucleotides",-1.714999,-0.002573871,-1.728608,-1.261065,-1.734835,-0.002573871,AK5
"Arginine and Proline Metabolism",0,0,0,0,0,0,AMD1
"Nucleotides",0,0,0,0,0,0,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADCY4,ADCY10
"Nucleotides",1.768416,0.05599121,1.782025,1.314482,1.788252,0.05599121,ADK
"Nucleotides",0,0,0,0,0,0,
"Transport, Extracellular",-100,-100,-100,-100,-100,-100,SLC29A1,SLC29A2
"Transport, Extracellular",0,0,0,100,0,0,SLC28A3,SLC28A2,SLC28A1
"Transport, Extracellular",100,100,100,0,100,100,SLC28A3
"Transport, Lysosomal",0,0,0,0,0,0,SLC29A3
"Transport, Mitochondrial",0,0,0,0,0,0,SLC29A1
"Nucleotides",0,0,0,0,0,0,NUDT5
"Nucleotides",0,0,0,0,0,0,NUDT5
"Nucleotides",0,0,0,0,0,0,NUDT5
"Nucleotides",0,0,0,0,0,0,NUDT9
"Transport, Extracellular",0,0,0,0,0,0,CD38
"Salvage Pathway",0,0,0,0,0,0,APRT
"Transport, Peroxisomal",-0.3028777,-0.3028777,-0.3028777,-0.3028777,-0.3028777,-0.3028777,
"Transport, Peroxisomal",0,0,0,0,0,0.03948908,
"Carnitine shuttle",0,0,0,0,0,0,CPT1C,CPT1A,CPT1B
"Carnitine shuttle",0,0,0,0,0,0,CPT2
"Carnitine shuttle",0,0,0,0,0,0,SLC25A20
"Transport, Extracellular",0,0,0,0,0,0,SLC18A1,SLC18A2
"Transport, Extracellular",-100,-100,-100,-100,-100,-100,
"Selenoamino acid metabolism",0,0,0,0,0,0,PAPSS2,PAPSS1
"Nucleotides",0,0,0,0,0,0,PAPSS2,PAPSS1
"Nucleotides",0.008866815,0.008866815,0.008866815,0.008866815,0.008866815,0.008866815,ADSL
"IMP Biosynthesis",0.02249586,0.02249586,0.02249586,0.02249586,0.02249586,0.02249586,ADSL
"Nucleotides",0.008866815,0.008866815,0.008866815,0.008866815,0.008866815,0.008866815,ADSSL1,ADSS
"Transport, Extracellular",0,0,0,0,0,0,
"Keratan sulfate biosynthesis",0,0,0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Keratan sulfate biosynthesis",0,0,0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Keratan sulfate biosynthesis",0,0,0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Keratan sulfate biosynthesis",0,0,0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Keratan sulfate biosynthesis",0,0,0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Keratan sulfate biosynthesis",0,0,0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Keratan sulfate biosynthesis",0,0,0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Keratan sulfate biosynthesis",0,0,0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Keratan sulfate biosynthesis",0,0,0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Keratan sulfate biosynthesis",0,0,0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Keratan sulfate biosynthesis",0,0,0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Keratan sulfate biosynthesis",0,0,0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Keratan sulfate biosynthesis",0,0,0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Keratan sulfate biosynthesis",0,0,0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Keratan sulfate biosynthesis",0,0,0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Keratan sulfate biosynthesis",0,0,0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Keratan sulfate biosynthesis",0,0,0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Keratan sulfate biosynthesis",0,0,0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Aminosugar Metabolism ",0,0,0,0,0,0,AMDHD2
"Glycerophospholipid Metabolism",0,0,0,0,0,0,
"Glycerophospholipid Metabolism",0,0,0,0,0,0,
"Glycerophospholipid Metabolism",0,0,0,0,0,0,
"Glycerophospholipid Metabolism",0,0,0,0,0,0,
"Glycerophospholipid Metabolism",0,0,0,0,0,0,
"Glycerophospholipid Metabolism",0,0,0,0,0,0,
"Arginine and Proline Metabolism",0,0,0,0,0,0,AGMAT
"Triacylglycerol Synthesis",0.1129419,0.1129419,0.1129419,0.1129419,0.1129419,0.1129419,AGPAT1,AGPAT2,AGPAT6,AGPAT5,AGPAT3,AGPAT4
"Urea cycle/amino group metabolism",0,0,0,0,0,0,ALDH18A1
"Glycerophospholipid Metabolism",0,0,0,0,0,0,AGPS
"Transport, Peroxisomal",0,0,0,0,0,0,
"Alanine and Aspartate Metabolism",0,0,0,0,0,0,AGXT2L1,AGXT2
"Alanine and Aspartate Metabolism",0,0,0,0,0,0,AGXT
"Transport, Extracellular",0,0,0,0,0,0,ABCC1
"Transport, Endoplasmic Reticular",0,0,0,0,0,0,
"Methionine Metabolism",0.05599121,0.05599121,0.05599121,0.05599121,0.05599121,0.05599121,AHCYL1,AHCY
"Transport, Nuclear",0,0,0,0,0,0,
"Transport, Endoplasmic Reticular",-0.04154125,0,-0.04154125,-0.04154125,-0.05599121,0,
"N-Glycan Degradation",0,0,0,0,0,0,HEXA,HEXB
"N-Glycan Degradation",0,0,0,0,0,0,HEXA,HEXB
"IMP Biosynthesis",0.02249586,0.02249586,0.02249586,0.02249586,0.02249586,0.02249586,ATIC
"IMP Biosynthesis",0.02249586,0.02249586,0.02249586,0.02249586,0.02249586,0.02249586,PAICS
"Citric Acid Cycle",0,0,0.01182722,0,0.02083437,0,DLD,DLST,OGDH,PDHX
"Transport, Mitochondrial",-1000,-1000,-998.5038,-1000,-997.8416,-604.3528,SLC25A11
"Transport, Extracellular",0,0,0,0,0,0,SLC13A3
"Transport, Peroxisomal",0,0,0,0,0,0,
"Steroid Metabolism",0,0,0,0,0,0,AKR1C1
"Bile Acid Biosynthesis",0,0,0,0,0,0,AKR1C4
"Bile Acid Biosynthesis",0,0,0,0,0,0,AKR1C4
"Bile Acid Biosynthesis",0,0,0,0,0,0,AKR1D1
"Bile Acid Biosynthesis",0,0,0,0,0,0,AKR1D1
"Transport, Extracellular",100,0.001382997,0.002344606,0.001688704,0.0016472,100,SLC1A5
"Transport, Extracellular",-100,-100,-100,-100,-100,-0.001711143,SLC1A4,SLC1A5
"Transport, Extracellular",100,0,100,100,99.39896,0.05,SLC7A10,SLC3A2
"Transport, Extracellular",-100,-100,-100,-100,-100,99.95,SLC7A10,SLC3A2
"Transport, Extracellular",0.02985125,100,100,0.03391761,100,0.05407652,SLC1A5
"Transport, Extracellular",0.02629714,-100,-100,99.31948,-99.89477,-100,SLC7A10,SLC3A2
"Transport, Extracellular",100,-100,100,100,-100,-100,SLC7A10,SLC3A2
"Alanine and Aspartate Metabolism",0,0,0,0,0,0,PROSC
"Transport, Extracellular",-100,-100,-100,-100,-100,-100,SLC1A4,SLC1A5
"Glycine, Serine, and Threonine Metabolism",0,0,0,0,0,0,ALAS1,ALAS2,GCAT
"Glutamate metabolism",-0.03598088,-0.03598088,-0.03598088,-0.03598088,-0.03598088,-0.03598088,GPT,GPT2
"Transport, Extracellular",-100,-53.29801,-100,-100,-0.0541896,-100,SLC1A4,SLC1A5
"Transport, Extracellular",100,100,100,100,100,100,SLC36A1
"Transport, Lysosomal",0,0,0,0,0,0,SLC36A1
"Transport, Extracellular",100,100,100,100,100,100,SLC6A14,SLC38A2,SLC38A4,SLC7A1,SLC7A2,SLC38A1,SLC7A3
"Transport, Extracellular",100,-46.65152,100,-99.30254,100,100,SLC38A3,SLC38A5
"Miscellaneous",0,0,0,0,0,0,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ADHFE1,ZADH2
"Pyruvate Metabolism",0,0,1000,0,0,0,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ADHFE1,ZADH2
"Pyruvate Metabolism",0,0,0,0,0,0,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ADHFE1,ZADH2
"Pyruvate Metabolism",1000,1000,0,1000,995.8163,1000,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ADHFE1,ZADH2
"Pyruvate Metabolism",0,0,0,0,0,0,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ADHFE1,ZADH2
"Glycolysis/Gluconeogenesis",0,0,0,0,0,0,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ADHFE1,ZADH2
"Glycolysis/Gluconeogenesis",0,0,0,0,0,0,AKR1A1
"Phenylalanine metabolism",0,0,0,0,0,0,ALDH3A1,ALDH1A3,ALDH3B1,ALDH3B2
"Phenylalanine metabolism",0,0,0,0,0,0,ALDH3A1,ALDH1A3,ALDH3B1,ALDH3B2
"Tryptophan metabolism",0,0,0,0,0,0,ALDH1A1,ALDH9A1,ALDH3A2,ALDH7A1,ALDH1A2
