Subsystems,t0005,t0060,t1440,t2880,Genes
"Transport, Endoplasmic Reticular",0,0,0,0,
"Transport, Lysosomal",0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,
"Transport, Endoplasmic Reticular",0,0,0,0,
"Transport, Lysosomal",0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,
"Transport, Lysosomal",0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,
"Sphingolipid Metabolism",0,0,0,0,A4GALT
"Sphingolipid Metabolism",0,0,0,0,A4GALT
"O-Glycan Biosynthesis",0,0,0,0,A4GNT
"O-Glycan Biosynthesis",0,0,0,0,A4GNT
"Propanoate Metabolism",1.213281,1.006306,1.108218,-0.1218095,AACS
"Glycine, Serine, and Threonine Metabolism",0,0,0,0,AOC3
"Transport, Mitochondrial",0,0,0,0,
"Lysine Metabolism",0,0,0,0,
"Lysine Metabolism",0,0,0,0,
"Lysine Metabolism",0.03955105,0.03954152,0.03949385,0.03950815,
"Lysine Metabolism",0.03955105,0.03954152,0.03949385,0.03950815,AADAT
"Blood Group Biosynthesis",0,0,0,0,ABO
"Blood Group Biosynthesis",0,0,0,0,ABO
"Blood Group Biosynthesis",0,0,0,0,ABO
"Blood Group Biosynthesis",0,0,0,0,ABO
"Blood Group Biosynthesis",0,0,0,0,ABO
"Blood Group Biosynthesis",0,0,0,0,ABO
"Blood Group Biosynthesis",0,0,0,0,ABO
"Blood Group Biosynthesis",0,0,0,0,ABO
"Blood Group Biosynthesis",0,0,0,0,ABO
"Glutamate metabolism",0,0,0.001,0.001,ABAT
"Pentose and Glucuronate Interconversions",0,0,0,-0.001,
"Transport, Extracellular",0,0,0,0.001,
"beta-Alanine metabolism",0,0,0.001,0.001,ALDH9A1
"Transport, Extracellular",40.64299,-100,-100,-100,SLC36A1
"Transport, Lysosomal",0,0,0,0,SLC36A1
"Transport, Extracellular",100,-100,-100,-100,SLC6A1,SLC6A11,SLC6A12,SLC6A13
"Cholesterol Metabolism",0,998.9937,0,0,ACAT2
"Valine, Leucine, and Isoleucine Metabolism",0.04581817,0.04581435,0.04579527,0.045801,ACAT1
"Tryptophan metabolism",-1.138405,-1000,-1.107218,0.1228095,ACAT2
"Tryptophan metabolism",1.035224,0.8912473,1.371752,-0.1335642,HADHA,HADHB,ACAT1
"Cholesterol Metabolism",0,0,0,0,ACAT2
"Fatty Acid Metabolism",0,0,0,0,ACAA1
"Fatty Acid Metabolism",0,0,0,0,ACAA1
"Fatty Acid Metabolism",0,0,0,0,ACAA1
"Fatty Acid Metabolism",0,0,0,0,ACAA1
"Fatty Acid Metabolism",0,0,0,0,ACAA1
"Fatty Acid Metabolism",0,0,0,0,ACAA1
"Transport, Extracellular",0,0,0,0,SLC16A1,SLC16A7
"Transport, Mitochondrial",-1.12373,-0.9167643,-1.018724,0.2113177,SLC16A1
"Transport, Peroxisomal",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,
"Transport, Peroxisomal",0,0,0,0,
"Fatty Acid Metabolism",1.926318,1.927996,1.936382,1.933866,ACACA,ACACB
"Fatty Acid Metabolism",0,0,0,0,ACACB
"Propanoate Metabolism",0,0,0,0,ACSS2
"Propanoate Metabolism",0,0,0,0,ACSS1
"Transport, Extracellular",0,0,0,0,SLC33A1
"Transport, Nuclear",0,0,0,0,
"Transport, Endoplasmic Reticular",0,0,0,0,SLC33A1
"Transport, Extracellular",0,0,-0.3789767,-0.1038733,SLC16A1,SLC16A3,SLC16A7
"Transport, Mitochondrial",0,0,-0.3789767,-0.1038733,SLC16A1
"Transport, Golgi Apparatus",0,0,0,0,
"Transport, Lysosomal",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,
"Aminosugar Metabolism ",0,0,0,0,
"Aminosugar Metabolism ",0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,
"Transport, Lysosomal",0,0,0,0,
"Aminosugar Metabolism ",0,0,0,0,RENBP
"Aminosugar Metabolism ",0,0,0,0,GNPNAT1
"Aminosugar Metabolism ",0.001,0.004,0,0.001,NAGK
"Aminosugar Metabolism ",0.001,0.004,0,0.001,PGM3
"Transport, Lysosomal",0.001,0.004,0,0.001,
"Transport, Golgi Apparatus",0,0,0,0,
"Transport, Lysosomal",0,0,0,0,
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0,0,0,0,PIGL
"Urea cycle/amino group metabolism",0,0,0,0,NAGS
"Glycerophospholipid Metabolism",0,0,0,0,ACHE
"Transport, Extracellular",0,0,0,0,SLC18A3
"Transport, Nuclear",0,0,0,0,
"Citric Acid Cycle",0,0.1912404,0,2.45718,ACLY
"Transport, Extracellular",0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,
"Aminosugar Metabolism ",0,0,0,0,NANS
"Aminosugar Metabolism ",0,0,0,0,NANS
"Aminosugar Metabolism ",0,0,0,0,
"Transport, Lysosomal",0,0,0,0,SLC17A5
"Transport, Nuclear",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,
"Aminosugar Metabolism ",0,0,0,0,
"Valine, Leucine, and Isoleucine Metabolism",0.04581817,0.04581435,0.04579527,0.045801,ACADM,ACADSB
"Butanoate Metabolism",0,0,0,0,ACAD8,ACAD9,ACADM,ACADS,ACADSB,ACAD10,ACAD11
"Valine, Leucine, and Isoleucine Metabolism",0.03748831,0.0374769,0.03741982,0.03743694,IVD
"Valine, Leucine, and Isoleucine Metabolism",0.03636114,0.03634869,0.03628647,0.03630514,ACAD8,ACADM
"Pyruvate Metabolism",0,0,0,0,ACOT12
"Fatty Acid Metabolism",0.001,6.255056,0.001,0.3576722,ACOX1
"Fatty Acid Metabolism",0,0,0,0,FASN
"Urea cycle/amino group metabolism",0,0,0,0,ACY1
"Citric Acid Cycle",0,0,0,0,IREB2,ACO1
"Citric Acid Cycle",0,-0.1912404,0,-0.1887768,ACO2
"Bile Acid Biosynthesis",0.001,0,0,0,ACOX2
"Bile Acid Biosynthesis",0.001,0,0,0,ACOX2
"Riboflavin Metabolism",0,0,0,0,ACP1
"Transport, Mitochondrial",0.001,0.001,0.001,0.001,SLC25A20
"Glycolysis/Gluconeogenesis",0,0,0,0,ACSS2,AACS
"Propanoate Metabolism",0,0,0,0,ACSS2,AACS
"Tryptophan metabolism",0,0,0,0,ASMT
"Tryptophan metabolism",0,0,0,0,ASMT
"Glycolysis/Gluconeogenesis",0,0,0,0,ACSS1
"Pyruvate Metabolism",0,0,0,0,CYP2E1
"Pyruvate Metabolism",0,0,0,0,CYP2E1
"Glycolysis/Gluconeogenesis",0,0,0,0,RWDD2A,ACYP1,ACYP2
"Transport, Mitochondrial",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,
"Purine Catabolism",0,0,0,0,ADA
"Nucleotides",0,0,0,0,ADA
"Propanoate Metabolism",0,0,0.3789767,0.1038733,
"Transport, Extracellular",0,0,0,0,SLC29A2
"Transport, Lysosomal",0,0,0,0,SLC29A3
"Transport, Peroxisomal",0,0,0,0,
"Nucleotides",1000,1000,1000,1000,AK7,AK1,AK5
"Nucleotides",-1000,-1000,-1000,-1000,AK2,AK3L1
"Nucleotides",-503.5295,-998.5965,-998.7721,-1000,AK5
"Nucleotides",1000,1000,1000,1000,AK3
"Nucleotides",-0.002558696,-0.007836937,-0.002572704,-0.00485875,AK5
"Arginine and Proline Metabolism",0,0,0.001,0,AMD1
"Nucleotides",0,0,0,0,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADCY4,ADCY10
"Nucleotides",0.05557267,0.06091297,0.05695902,0.05715198,ADK
"Nucleotides",0,0,0,0,
"Transport, Extracellular",-100,100,-100,100,SLC29A1,SLC29A2
"Transport, Extracellular",0,-100,0,-100,SLC28A3,SLC28A2,SLC28A1
"Transport, Extracellular",100,0,100,0,SLC28A3
"Transport, Lysosomal",0,0,0,0,SLC29A3
"Transport, Mitochondrial",0,0,0,0,SLC29A1
"Nucleotides",0,0,0,0,NUDT5
"Nucleotides",0,0,0,0,NUDT5
"Nucleotides",0,0,0.001,0.001,NUDT5
"Nucleotides",0,0,0,0,NUDT9
"Transport, Extracellular",0,0,0,0,CD38
"Salvage Pathway",0,0,0,0.001,APRT
"Transport, Peroxisomal",-0.337092,-0.3013667,-0.3027403,-0.3023283,
"Transport, Peroxisomal",0,0,0,0,
"Carnitine shuttle",0,0,0,0,CPT1C,CPT1A,CPT1B
"Carnitine shuttle",0,0,0,0,CPT2
"Carnitine shuttle",0,0,0,0,SLC25A20
"Transport, Extracellular",0,0,0,0,SLC18A1,SLC18A2
"Transport, Extracellular",-100,-100,-100,-100,
"Selenoamino acid metabolism",0,0,0,0,PAPSS2,PAPSS1
"Nucleotides",0,0,0,0.002,PAPSS2,PAPSS1
"Nucleotides",0.008814539,0.008822581,0.008862794,0.00885073,ADSL
"IMP Biosynthesis",0.02236323,0.02238363,0.02248566,0.02245505,ADSL
"Nucleotides",0.008814539,0.008822581,0.008862794,0.00885073,ADSSL1,ADSS
"Transport, Extracellular",0,0,0,0,
"Keratan sulfate biosynthesis",0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Keratan sulfate biosynthesis",0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Keratan sulfate biosynthesis",0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Keratan sulfate biosynthesis",0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Keratan sulfate biosynthesis",0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Keratan sulfate biosynthesis",0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Keratan sulfate biosynthesis",0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Keratan sulfate biosynthesis",0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Keratan sulfate biosynthesis",0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Keratan sulfate biosynthesis",0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Keratan sulfate biosynthesis",0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Keratan sulfate biosynthesis",0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Keratan sulfate biosynthesis",0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Keratan sulfate biosynthesis",0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Keratan sulfate biosynthesis",0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Keratan sulfate biosynthesis",0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Keratan sulfate biosynthesis",0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Keratan sulfate biosynthesis",0,0,0,0,B3GNT3,B3GNT2,B3GNT1,,B3GNT8,B3GNT4,B3GNT7
"Aminosugar Metabolism ",0,0,0,0,AMDHD2
"Glycerophospholipid Metabolism",0,0,0,0,
"Glycerophospholipid Metabolism",0,0,0,0,
"Glycerophospholipid Metabolism",0,0,0,0,
"Glycerophospholipid Metabolism",0,0,0,0,
"Glycerophospholipid Metabolism",0,0,0,0,
"Glycerophospholipid Metabolism",0,0,0,0,
"Arginine and Proline Metabolism",0,0,0,0,AGMAT
"Triacylglycerol Synthesis",0.112276,0.1123785,0.1128907,0.112737,AGPAT1,AGPAT2,AGPAT6,AGPAT5,AGPAT3,AGPAT4
"Urea cycle/amino group metabolism",0,0,0,0,ALDH18A1
"Glycerophospholipid Metabolism",0,0,0,0,AGPS
"Transport, Peroxisomal",0,0,0,0,
"Alanine and Aspartate Metabolism",0,0,0,0,AGXT2L1,AGXT2
"Alanine and Aspartate Metabolism",0,0,0.1193928,0,AGXT
"Transport, Extracellular",0,0,0,0,ABCC1
"Transport, Endoplasmic Reticular",0,0,0,0,
"Methionine Metabolism",0.05557267,0.05563706,0.05595902,0.05586243,AHCYL1,AHCY
"Transport, Nuclear",0,0,0,0,
"Transport, Endoplasmic Reticular",-0.05557267,0,-0.04151561,0,
"N-Glycan Degradation",0,0,0,0,HEXA,HEXB
"N-Glycan Degradation",0,0,0,0,HEXA,HEXB
"IMP Biosynthesis",0.02236323,0.02238363,0.02248566,0.02245505,ATIC
"IMP Biosynthesis",0.02236323,0.02238363,0.02248566,0.02245505,PAICS
"Citric Acid Cycle",0.1916586,0,0.1881495,0,DLD,DLST,OGDH,PDHX
"Transport, Mitochondrial",-1000,996.0115,-3.580868,-2.024006,SLC25A11
"Transport, Extracellular",0,0,0,0,SLC13A3
"Transport, Peroxisomal",0,0,0,0,
"Steroid Metabolism",0,0,0,0,AKR1C1
"Bile Acid Biosynthesis",0.001,0,0,0,AKR1C4
"Bile Acid Biosynthesis",0.001,0,0,0,AKR1C4
"Bile Acid Biosynthesis",0.001,0,0,0,AKR1D1
"Bile Acid Biosynthesis",0.001,0,0,0,AKR1D1
"Transport, Extracellular",-100,-100,0.001,0.001,SLC1A5
"Transport, Extracellular",-100,-100,-100,100,SLC1A4,SLC1A5
"Transport, Extracellular",-100,-70.49941,100,100,SLC7A10,SLC3A2
"Transport, Extracellular",100,99.95,0,-100,SLC7A10,SLC3A2
"Transport, Extracellular",-100,-100,0.001,0.001,SLC1A5
"Transport, Extracellular",0.2,-100,-100,-100,SLC7A10,SLC3A2
"Transport, Extracellular",-100,-100,-100,-100,SLC7A10,SLC3A2
"Alanine and Aspartate Metabolism",0,0,0,0,PROSC
"Transport, Extracellular",100,-16.50015,-100,0.05,SLC1A4,SLC1A5
"Glycine, Serine, and Threonine Metabolism",0.016,0.016,0,0.008,ALAS1,ALAS2,GCAT
"Glutamate metabolism",-0.03517918,-0.03530252,-0.03591922,-0.03573421,GPT,GPT2
"Transport, Extracellular",-100,-0.05,100,-100,SLC1A4,SLC1A5
"Transport, Extracellular",100,100,100,100,SLC36A1
"Transport, Lysosomal",0,0,0,0,SLC36A1
"Transport, Extracellular",-100,100,100,-100,SLC6A14,SLC38A2,SLC38A4,SLC7A1,SLC7A2,SLC38A1,SLC7A3
"Transport, Extracellular",-100,46.60073,100,100,SLC38A3,SLC38A5
"Miscellaneous",0,0,-0.03926985,-0.1656046,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ADHFE1,ZADH2
"Pyruvate Metabolism",1000,0,995.6339,0,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ADHFE1,ZADH2
"Pyruvate Metabolism",0,0,0,0,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ADHFE1,ZADH2
"Pyruvate Metabolism",1000,1000,1000,1000,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ADHFE1,ZADH2
"Pyruvate Metabolism",0,0,0,0,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ADHFE1,ZADH2
"Glycolysis/Gluconeogenesis",0,0,0,0,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ADHFE1,ZADH2
"Glycolysis/Gluconeogenesis",0,0,0,0,AKR1A1
"Phenylalanine metabolism",0,0,0,0,ALDH3A1,ALDH1A3,ALDH3B1,ALDH3B2
"Phenylalanine metabolism",0,0,0,0,ALDH3A1,ALDH1A3,ALDH3B1,ALDH3B2
"Tryptophan metabolism",0,0,0,0,ALDH1A1,ALDH9A1,ALDH3A2,ALDH7A1,ALDH1A2
"Tryptophan metabolism",0,0,0,0,ALDH2,ALDH1B1,ALDH4A1
"Fatty Acid Metabolism",0,0,0,0,ALDH3A2
"Glycolysis/Gluconeogenesis",0,0,0,0,ALDH1A1,ALDH3A1,ALDH1A3,ALDH3B1,ALDH3B2,ALDH9A1,ALDH3A2,ALDH7A1,ALDH1A2
"Glycolysis/Gluconeogenesis",0,0,0,0,ALDH2,ALDH1B1
"Glycolysis/Gluconeogenesis",0,0,0,0,ALDH3A1,ALDH3B1,ALDH3B2,ALDH9A1,ALDH3A2,ALDH1A2
"Transport, Extracellular",0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,
"Glycerophospholipid Metabolism",0,0,0,0,ALPI,ALPL,ALPP,ALPPL2
"Eicosanoid Metabolism",0,0,0,0,ALOX12
"Eicosanoid Metabolism",0,0,0,0,ALOX12B
"Eicosanoid Metabolism",0,0,0,0,ALOX15,ALOX15B
"Eicosanoid Metabolism",0,0,0,0,ALOX5
"Eicosanoid Metabolism",0,0,0,0,ALOX5
"Glycine, Serine, and Threonine Metabolism",0,0,0,0,AKR1B1
"Pyruvate Metabolism",0,0,0,0,AKR1A1,AKR1B1,AKR7A2
"Pyruvate Metabolism",0,0,0,0,AKR1A1,AKR1B1,AKR7A2
"Tryptophan metabolism",0.04895511,0.04895415,0.04894938,0.04895081,
"Bile Acid Biosynthesis",0.001,0,0,0,AMACR
"Bile Acid Biosynthesis",0,0,0,0,AMACR
"Bile Acid Biosynthesis",0.001,0,0,0,AMACR
"Bile Acid Biosynthesis",0,0,0,0,AMACR
"Aminosugar Metabolism ",0,0,0,0,GNE,NAGK
"Tryptophan metabolism",0.04895511,0.04895415,0.04894938,0.04895081,
"Transport, Endoplasmic Reticular",0.05557267,0,0.04151561,0,
"Transport, Mitochondrial",0,0.05563706,0.01444341,0.05586243,SLC25A26
"Transport, Nuclear",0,0,0,0,
"Nucleotides",0,0,0,0,AMPD1,AMPD2,AMPD3
"Glutathione Metabolism",0,0,0,0.001,ANPEP
"Glutathione Metabolism",0,0,0.001,0,ANPEP
"Transport, Peroxisomal",-0.002,0,0,0,
"Transport, Endoplasmic Reticular",0,0,0,0,
"Starch and Sucrose Metabolism",0,0,0,0,SLC7A9,AMY1A,AMY1B,AMY1C,AMY2A,AMY2B,SLC3A1,SLC3A2
"Starch and Sucrose Metabolism",0,0,0,0,SLC7A9,AMY1A,AMY1B,AMY1C,AMY2A,AMY2B,SLC3A1,SLC3A2
"Transport, Extracellular",0,0,0,0,ABCC1
"Transport, Extracellular",0,0,0,0,
"Transport, Endoplasmic Reticular",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Glycine, Serine, and Threonine Metabolism",0,0,0,0,
"Nucleotides",0,0,0,0,NUDT2
"beta-Alanine metabolism",0.001,0.001,0.001,0,ABAT
"Transport, Extracellular",0,0,0,0,
"Biotin Metabolism",495.1363,0,0,0,
"Biotin Metabolism",0,0,0,0,
"Biotin Metabolism",495.1363,0,0,0,
"Biotin Metabolism",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Arginine and Proline Metabolism",0,0,0,0,MAOA,MAOB
"Transport, Extracellular",0,0,0,0,
"Pentose and Glucuronate Interconversions",0,0,0,0,AKR1A1,AKR1B1,AKR7A2
"Transport, Extracellular",0,0,0,0,
"Transport, Peroxisomal",0,0,0,0,
"Carnitine shuttle",0,0,0,0,CPT1C,CPT1A,CPT1B
"Carnitine shuttle",0,0,0,0,CPT2
"Carnitine shuttle",0,0,0,0,SLC25A20
"Transport, Peroxisomal",0,0,0,0,
"Transport, Extracellular",-100,-100,-100,-100,
"Transport, Endoplasmic Reticular",0,0,0,0,
